work_id,title,author,rating,category,fandom,relationship,character,tags,language,published,status,status_date,words,chapters,comments,kudos,bookmarks,hits,all_kudos,all_bookmarks,body
30607595,fool's gold,['Cazio'],Mature,M/M,Formula 1 RPF,"Charles Leclerc/Sebastian Vettel, Charles Leclerc/Carlos Sainz Jr, Lando Norris/Carlos Sainz Jr, Lando Norris/Daniel Ricciardo, Lewis Hamilton/George Russell, Daniel Ricciardo/Max Verstappen, Antonio Giovinazzi/Kimi Raikkonen, Alexander Albon/George Russell, Charles Leclerc/Max Verstappen, Carlos Sainz Jr/Max Verstappen, Fernando Alonso/Esteban Ocon, Pierre Gasly/Charles Leclerc, Callum Ilott/Mick Schumacher, Lewis Hamilton/Nico Rosberg, Lance Stroll/Sebastian Vettel, Sergio Perez/Max Verstappen","Lando Norris, Sebastian Vettel, Mick Schumacher, Fernando Alonso (Formula 1), Esteban Ocon, Sergio Perez, Daniel Ricciardo, Lewis Hamilton (Formula 1 RPF), Max Verstappen, Pierre Gasly, Yuki Tsunoda, Kimi Raikkonen, Antonio Giovinazzi, Nicholas Latifi, George Russell (Formula 1 RPF), Callum Ilott, Charles Leclerc, Carlos Sainz Jr, Alexander Albon, Nico Rosberg","Alternate Universe - Arranged Marriage, Modern Royalty, Arranged Marriage, the FIA is still a bag of dicks, Angst, Political warfare, Emotional Manipulation, mick is an absolute prince, williams boys looking out for each other, letter writing, Mind Games, Past Child Abuse, the one true king is and always will be nicholas latifi, if all of those ships make you nervous just try it out",English,2021-04-11,Completed,2023-07-21,"745,850",155/155,"2,424","3,841",478,"309,387",,,
56509411,F.I.A (Fark.It.Aye),['tavana_lee'],Teen And Up Audiences,"M/M, Multi",Formula 1 RPF,"Charles Leclerc/Max Verstappen, Charles Leclerc & Max Verstappen, Lando Norris/Oscar Piastri, Max Verstappen & Everyone, Charles Leclerc & Everyone, Lando Norris & Everyone, Oscar Piastri & Everyone, Lewis Hamilton/Nico Rosberg, Andrea Kimi Antonelli/Oliver Bearman, Pierre Gasly/YukiTsunoda, Alexander Albon/George Russell, Sebastian Vettel/Mark Webber, Charles Leclerc & Carlos Sainz Jr, Charles Leclerc/Carlos Sainz Jr","Oscar Piastri, Lando Norris, Max Verstappen, Charles Leclerc, Carlos Sainz Jr, Daniel Ricciardo, Yuki Tsunoda, Alexander Albon, George Russell (Formula 1 RPF), Lewis Hamilton (Formula 1 RPF), Sergio Perez, Pierre Gasly, Logan Sargeant, Ollie Bearman, Kimi Antonelli, Fernando Alonso (Formula 1 RPF), Sebastian Vettel, Mark Webber","Comedy, Social Media, Formula 1, Grid Dad Lewis Hamilton (Formula 1 RPF), Chatting & Messaging, Max is done with the Grid, Charles has no idea whats going on, Daniel and Lando create chaos, Oscar just wanted to stay alive, Yuki loves to be included, First Chatfic. Go easy on me, Formula one drivers, Max and Charles adopting everyone, Daniel: Master Relationship Expert, landoscar, lestappen, George just wants a normal group chat, Brocedes crumbs, Checo and Logan are just there, Ollie and Kimi are just adorable, Love, Love Confessions, Everyone Is Gay, Protective Charles Leclerc, Oscar Piastri Loves Lando Norris, Max Verstappen is Bad at Feelings, charlos",English,2024-06-09,Completed,2025-02-16,"104,064",78/78,970,"3,071",323,"155,049",,,
43196685,50 Types of Kisses/F1 promptes (Completed),[],Not Rated,M/M,Formula 1 RPF,"Pierre Gasly/Yuki Tsunoda, Esteban Ocon/Lance Stroll, Daniel Ricciardo/Max Verstappen, Lando Norris/Carlos Sainz Jr, George Russell/Yuki Tsunoda, Lewis Hamilton/George Russell, Lando Norris/Daniel Ricciardo, Charles Leclerc/Max Verstappen, Charles Leclerc/Yuki Tsunoda, Lewis Hamilton/Max Verstappen, Charles Leclerc/Carlos Sainz Jr, Lewis Hamilton/Charles Leclerc, Valtteri Bottas/Daniel Ricciardo, Charles Leclerc/Lando Norris, Charles Leclerc/Daniel Ricciardo, Kimi Raikkonen/Sebastian Vettel, Lando Norris/Max Verstappen, Carlos Sainz Jr/Yuki Tsunoda, Charles Leclerc/Sebastian Vettel, Mick Schumacher/Zhou Guanyu, Mick Schumacher/Yuki Tsunoda, Pierre Gasly/Charles Leclerc, Yuki Tsunoda/Zhou Guanyu, Charles Leclerc/Mick Schumacher, Lewis Hamilton/Lando Norris, Sergio Perez/Max Verstappen, Nico Hulkenberg/Kevin Magnussen, Valtteri Bottas/Zhou Guanyu, Lando Norris/Nyck de Vries, Lando Norris/Mick Schumacher, Mick Schumacher/Max Verstappen, Pierre Gasly/Lando Norris, Lewis Hamilton/Sergio Perez","Pierre Gasly, Yuki Tsunoda, Esteban Ocon, Lance Stroll, Daniel Ricciardo, Max Verstappen, Lando Norris, Carlos Sainz Jr, George Russell (Formula 1 RPF), Lewis Hamilton (Formula 1 RPF), Valtteri Bottas, Kimi Raikkonen, Mick Schumacher, Zhou Guanyu, Kevin Magnussen, Nico Hulkenberg, Nyck de Vries, Sergio Perez, Charles Leclerc","Formula 1, 50 Types of Kisses Writing Prompts, Oneshot Prompts Challenge, Fluff, Hurt/Comfort, sorta - Freeform, Angst, Hurt No Comfort, Character Death, little bit of pain, Its all very gay, Angst with a Happy Ending, Happy Ending, so much fluff oh wow, Implied Sexual Content, Tooth-Rotting Fluff, Established Relationship, Google translate my beloved, Author is dyslexic",English,2022-11-21,Completed,2024-03-05,"174,720",178/178,519,"2,260",131,"120,478",,,
50464201,F1 Kinktober 2023,['sainzofthecentury'],Explicit,M/M,Formula 1 RPF,"Charles Leclerc/Max Verstappen, Lewis Hamilton/Daniel Ricciardo, Lando Norris/Carlos Sainz Jr, Daniel Ricciardo/Max Verstappen, Charles Leclerc/Carlos Sainz Jr, Charles Leclerc/Carlos Sainz Jr/Max Verstappen","Charles Leclerc, Max Verstappen, Lewis Hamilton (Formula 1 RPF), Daniel Ricciardo, Lando Norris, Carlos Sainz Jr","Temperature Play, Sex Tapes, Begging, gagging, Spanking, Bondage, Morning Sex, Praise Kink, Hair-pulling, Outdoor Sex, Phone Sex, Size Kink, Scratching, Body Worship, Uniform Kink, Masturbation, Butt Plugs, Nude Photos, Orgasm Denial, Mirror Sex, Tattoo Kink, almost getting caught, Degradation, Edgeplay, Face-Fucking, Angry Sex, Role Reversal, Shower Sex, thigh riding, Somnophilia, Kinktober 2023, Sensory Deprivation",English,2023-10-01,Completed,2023-11-04,"60,948",31/31,80,"1,482",117,"89,380",,,
58933411,F1 and F2 oneshots,['Lilli_moon'],Not Rated,"F/M, M/M, F/F","Formula 1 RPF, Formula 2 RPF, Formula 1 Academy - Fandom","Charles Leclerc/Max Verstappen, Charles Leclerc/Carlos Sainz Jr, Charles Leclerc/Alexandra Saint Mleux, Arthur Leclerc & Charles Leclerc, Daniel Ricciardo/Max Verstappen, Lando Norris/Carlos Sainz Jr, Lando Norris/Oscar Piastri, Oscar Piastri/Logan Sargeant, Oscar Piastri/Lily Zneimer, Lewis Hamilton/Nico Rosberg, Lewis Hamilton/George Russell, Andrea Kimi Antonelli/Oliver Bearman, Doriane Pin/Abbi Pulling, Carlos Sainz Jr/Max Verstappen, Paul Aron/Dino Beganovic, Franco Colapinto/Lando Norris, Arthur Leclerc/Logan Sargeant, Franco Colapinto/Max Verstappen, Franco Colapinto/Oscar Piastri, Franco Colapinto/Lewis Hamilton, Pierre Gasly/Yuki Tsunoda, Sergio Perez/Max Verstappen, Max Fewtrell/Lando Norris, Franco Colapinto/Charles Leclerc, Lando Norris/Oscar Piastri/Carlos Sainz Jr, Fernando Alonso/Lance Stroll, Lando Norris/Max Verstappen, Alexander Albon/George Russell","Charles Leclerc, Carlos Sainz Jr, Lando Norris, Oscar Piastri, Max Verstappen, Sergio Perez, Daniel Ricciardo, Yuki Tsunoda, Pierre Gasly, Esteban Ocon, Valtteri Bottas, Zhou Guanyu, Fernando Alonso (Formula 1 RPF), Lance Stroll, Lewis Hamilton (Formula 1 RPF), George Russell (Formula 1 RPF), Logan Sargeant, Alexander Albon, Nico Hulkenberg, Kevin Magnussen, Sebastian Vettel, Kimi Raikkonen, Mark Webber, Nico Rosberg, Andrea Kimi Antonelli, Oliver Bearman, Arthur Leclerc, Doriane Pin, Abbi Pulling, Dino Beganovic, Paul Aron, Franco Colapinto","Suicide Attempt, Suicide, Self-Harm, Depression, Formula 1 Crashes, Car Accidents, Hospitals, Character Death, Hurt/Comfort, Hurt No Comfort, Love, First Kiss",English,2024-09-14,Completed,2025-07-04,"157,880",148/148,"1,324","1,393",75,"108,155",,,
55990138,Slow To Notice,['vragek'],Explicit,M/M,Formula 1 RPF,"Charles Leclerc/Carlos Sainz Jr, Pierre Gasly & Charles Leclerc, Lando Norris & Carlos Sainz Jr, Lando Norris/Oscar Piastri, Pierre Gasly/Yuki Tsunoda, Kimi Raikkonen/Sebastian Vettel","Charles Leclerc, Carlos Sainz Jr, Lando Norris, Sebastian Vettel, Pierre Gasly","Alpha/Beta/Omega Dynamics, Alpha Carlos Sainz Jr, Omega Charles Leclerc, Omega Lando Norris, 5+1 Things, no beta we die like my will to live, Fluff, Texting, Gift Giving, Eventual Smut",English,2024-05-18,Completed,2024-10-18,"16,662",6/6,85,"1,320",201,"28,415",,,
54789499,i take my whiskey (neat),"['delicate_epiphany', 'starzzach']",Explicit,M/M,Formula 1 RPF,"Charles Leclerc/Carlos Sainz Jr, Minor or Background Relationship(s)","Charles Leclerc, Carlos Sainz Jr, Original Child Character(s), Lando Norris, Pierre Gasly, Reyes Vazquez de Castro, Pascale Leclerc","Arranged Marriage, Alternate Universe - Modern Setting, Kid Fic, in the sense they have kids, Mpreg, Falling In Love, Partners to Lovers, Contractually Arranged Co-parents to Lovers",English,2024-03-29,Completed,2024-09-18,"55,450",15/15,279,"1,283",215,"43,218",,,
42359439,"the words you wrote, the heart you broke",['bloodmoonforme'],Explicit,M/M,Formula 1 RPF,Charles Leclerc/Carlos Sainz Jr,"Charles Leclerc, Carlos Sainz Jr","Alpha/Beta/Omega Dynamics, come get your charlos today, now with secondary genders!, Attempted Rape/Non-Con, but don't worry everybody's fine, Possessive Behavior, starts at the end of the 2020 season, until the end of 2022, carlos is a gentle alpha",English,2022-10-13,Completed,2022-10-13,"8,789",1/1,27,"1,100",174,"18,266",,,
48327706,hot in it (no stopping it),['creabirds'],Explicit,M/M,Formula 1 RPF,"Charles Leclerc/Carlos Sainz Jr, Charles Leclerc/Max Verstappen, Carlos Sainz Jr/Max Verstappen, Charles Leclerc/Carlos Sainz Jr/Max Verstappen","Charles Leclerc, Carlos Sainz Jr, Max Verstappen","Threesome - M/M/M, Barebacking, Unsafe Sex, Dom/sub Undertones, Marking, Love Bites, Sexting, Pet Names, charles leclerc deserves to be called every pet name under the sun, Bottom Charles Leclerc, Top Max Verstappen, Top Carlos Sainz Jr, Plot What Plot/Porn Without Plot, do not expect plot or careful prose this is not that, i have been reminded that calling someone a slut is considered degradation lol so, Degradation, Name-Calling, But also, Praise Kink",English,2023-07-03,Completed,2023-07-03,"5,351",1/1,52,"1,089",138,"22,095",,,
58402552,La Propuesta (Eligeme a mi),['SaraHudson112'],General Audiences,M/M,Formula 1 RPF,"Sergio Perez/Max Verstappen, Charles Leclerc/Carlos Sainz Jr","Sergio Perez, Max Verstappen, Patricio ""Pato"" O'Ward, Carlos Sainz Jr, Charles Leclerc, Saul ""Canelo"" Alvarez, Lewis Hamilton (Formula 1 RPF), Lando Norris, Oscar Piastri","mentions of other drivers, Mentions of other couples - Freeform, Omega Verse, Alpha/Beta/Omega Dynamics, This time I don't know what I'm doing, But let's see what happens",Espanol,2024-08-23,Completed,2024-11-30,"80,593",16/16,530,"1,061",89,"23,441",,,
48604429,sweet tea in the summer,['bloodmoonforme'],Explicit,M/M,Formula 1 RPF,Charles Leclerc/Carlos Sainz Jr,"Charles Leclerc, Carlos Sainz Jr, Max Verstappen","Alternate Universe - Vampire, Blood Drinking, the tags in my works just keep getting worse, author is angry at the way they are treating carlos this season, Angst, Possessive Behavior, But only a little",English,2023-07-15,Completed,2023-07-15,"10,205",1/1,32,"1,015",188,"10,564",,,
44948902,don't point your love at me like that (if you think you'll ever take it back),['bloodmoonforme'],Explicit,M/M,Formula 1 RPF,Charles Leclerc/Carlos Sainz Jr,"Charles Leclerc, Carlos Sainz Jr, Pierre Gasly, Lando Norris","Soulmate-Identifying Marks, Soulmate AU, Angst, as usual, Misunderstandings, covers all of charles' F1 career and then an imaginary 2023, Carlos is a bit dense in this one",English,2023-02-11,Completed,2023-02-11,"14,022",1/1,26,959,129,"12,337",,,
